Statistics(통계),2019,2021,2022,2023
Total number of all personnel (총 인원수),"100,565","102,567","103,327","105,666"
Total number of police officers (총 경찰관 수),"68,847","70,160","70,581","71,472"
Men police officers (남자 경찰관 수),"53,529","54,425","54,562","55,043"
Women police officers (여자 경찰관 수),"15,319","15,735","16,018","16,429"
Total number of civilian and other personnel (민간인 및 기타 인력 총 수),"31,718","32,407","32,747","34,193"
"Police officers per 100,000 population (100000만명당 경찰관 비율)",183,183.5,181.3,178.2
