통계표명:,경찰 인력 현황,,,,,,,,,,,,,,,,,,,,,
단위:,명,,,,,,,,,,,,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
경찰인력,"90,819","91,592","92,165","93,271","95,336","95,613","96,324","97,732","99,554","101,108","101,239","102,386","105,357","109,364","113,077","114,658","116,584","118,651","122,913","126,227","128,985","131,004"
전년대비?증감률(%),-,0.9,0.6,1.2,2.2,0.3,0.7,1.5,1.9,1.6,0.1,1.1,2.9,3.8,3.4,1.4,1.7,1.8,3.6,2.6,2.2,1.6
1인당?담당인구수,526,527,523,519,513,510,509,504,498,492,501,498,485,469,456,451,444,436,422,411,400,393
출처:,경찰청「경찰통계연보」,,,,,,,,,,,,,,,,,,,,,
